title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
롯데리아,서울시 은평구 응암로 229,02-308-6681,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9174928,37.59240924
대창타운빌,서울시 구로구 개봉로23가길 70,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.8598181,37.49482721
㈜젠 하이더 웨이-동남아음식,서울시 강남구 언주로168길  24,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.035543,37.5259197
근린생활시설(생고기전문점취어당),서울시 노원구 노원로 447,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0664851,37.65640127
대원,서울시 성동구 고산자로26길 12,02-2295-5500,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0390492,37.57038811
커피빈 압구정점(스마트 익스체인지 빌딩),서울시 강남구 도산대로49길 13,02-543-5922,Y,N,N,N,N,N,N,N,N,N,N,N,127.0369605,37.52374174
파리크라샹,서울시 용산구 독서당로  78,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0092795,37.53395497
최고집칼국수,서울시 도봉구 덕릉로    268,02-995-5333,Y,N,N,N,N,N,N,N,N,N,N,N,127.0408057,37.64101401
양지촌,서울시 중랑구 망우로 184,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0732682,37.59285666
장L카페레스토랑,서울시 종로구 대학로10길 15-11,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0027751,37.58226711
세종대왕숯불갈비,서울시 동작구 여의대방로 136,02-823-2517,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9206888,37.4992121
상하이짬뽕건물,서울시 서대문구 명물길  76-5,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9405646,37.55879598
오렌지팩토리-의류판매,서울시 서대문구 증가로 141,02-302-2411,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9219206,37.57737517
돈촌삼겹살,서울시 중랑구 사가정로51길 21,-1,N,Y,N,N,N,N,N,N,N,N,N,N,127.0878429,37.58184325
상도갈비,서울시 동작구 매봉로 13,02-816-4085,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9501624,37.50589004
가족천하,서울시 영등포구 가마산로 330,02-847-4500,Y,N,N,N,N,N,N,N,N,N,N,N,126.8963312,37.4988017
송가네(일반음식점),서울시 마포구 동교로  247,02-3141-6557,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9241587,37.56202162
카페프렌즈,서울시 서초구 반포대로16길 30,02-586-4000,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0123757,37.48634913
넘버원-호프&amp;요리주점,서울시 서대문구 연세로5가길 8-3,02-3142-7220,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9361476,37.55748037
대원정,서울시 서초구 동산로 6,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.040682,37.46896712
봉산집,서울시 강남구 삼성로 564,02-552-5898,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0543202,37.5119354
가야옥,서울시 도봉구 도당로   2,02-900-2219,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0352857,37.65841189
하누소,서울시 도봉구 노해로 327,02-900-9900,Y,Y,Y,Y,N,N,N,N,N,N,N,N,127.0448073,37.65150756
렉스모터스-자동차판매점,서울시 강남구 도산대로  426,02-516-4323,Y,Y,Y,Y,N,N,N,N,N,N,N,N,127.0425248,37.52318205
희래등,서울시 동작구 등용로 123,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9318011,37.51238979
근린생활시설(대게나라),서울시 노원구 상계로 122,02-932-9981,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0684659,37.6578202
어부박씨,서울시 노원구 노원로 238,02-951-7888,Y,N,N,N,N,N,N,N,N,N,N,N,127.0747868,37.63923396
아웃백스테이크하우스 신대방점,서울시 동작구 여의대방로 122,02-821-0671,Y,Y,N,N,N,N,N,N,N,N,N,N,126.920383,37.49778871
두울빌딩,서울시 강동구 강동대로53길 22,-1,N,Y,Y,N,N,N,N,N,N,N,N,N,127.1319999,37.5237527
(주) 씨머스,서울시 강남구 학동로2길  56,02-546-7602,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0235987,37.50794082
수원왕갈비,서울시 성동구 마장로   317,02-2299-8592,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0441637,37.56744136
퍼쥬망 왕갈비전문점,서울시 종로구 삼일대로15길 18,02-732-8555,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9864967,37.56892736
옥토빌딩&lt;일반음식점&gt;-다미식당,서울시 도봉구 방학로 214,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0282439,37.66208058
손문 대구막창 갈매기살,서울시 강남구 삼성로64길 49,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0642665,37.5010649
천둥소리,서울시 도봉구 시루봉로   135,02-3491-3377,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0273811,37.66293555
일식미진(일반음식점) ,서울시 마포구 월드컵북로2길 37,02-324-4848,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9226173,37.55689787
궁안뜰,서울시 노원구 공릉로51길 7,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0767206,37.62877528
산화로구이,서울시 강서구 강서로  374,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,126.8387802,37.55903253
고릴라 인더 키친(연우빌딩),서울시 강남구 도산대로45길 18,02-3442-1688,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0354841,37.52355675
The만나,서울시 노원구 석계로 103,02-971-1100,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.060711,37.62283551
아웃백스테이크하우스 삼봉점,서울시 중랑구 망우로 293,02-434-8491,N,Y,N,N,N,N,N,N,N,N,N,N,127.0852045,37.59654849
대학로바탕골,서울시 종로구 대학로10길 5,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0025803,37.58186177
황토궁,서울시 강남구 테헤란로83길 47,1577-9070,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0564101,37.51036255
정동진회집 하계점,서울시 노원구 한글비석로1길 61,02-976-4983,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0704291,37.64040001
감자바우,서울시 강남구 언주로 855,02-517-1161,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0330966,37.52679113
코다리냉면,서울시 송파구 문정로 31,-1,Y,Y,Y,N,N,N,Y,N,N,N,N,N,127.1261815,37.48646207
아웃백스테이크하우스 봉천점,서울시 관악구 남부순환로 1840,02-884-4761,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9542976,37.4803625
청송면옥,서울시 관악구 보라매로3길 16,02-873-3329,Y,N,N,N,N,N,N,N,N,N,N,N,126.926303,37.49162863
