title,location,image,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
초전섬유퀼트박물관,퇴계로18길 66 제일문화원 1층,,02-753-4075,Y,Y,Y,N,N,N,N,N,N,N,N,Y,126.9842278,37.558125
aA갤러리_aA디자인뮤지엄,와우산로17길 19-18,http://wis.seoul.go.kr/rest/file/thumbnail/kxizhon4ae0vcgmhiahfr32spjzs33a3/1,02-3143-7312,N,N,N,N,N,N,N,N,N,N,N,N,126.9213295,37.54956362
포스코미술관,테헤란로 440 포스코센터,http://wis.seoul.go.kr/rest/file/thumbnail/f18puuctwwr636tcvbwnktivmuqjomky/1,02-3457-1665,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,127.0561308,37.50581523
서울대공원,경기도 과천시 대공원광장로 102,http://wis.seoul.go.kr/rest/file/thumbnail/7icnm2vve939j3lmf3v1di5vcdn0ax4x/1,02-500-7335,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,127.0140987,37.43643075
서울대학교 미술관MOA,관악로 1,http://wis.seoul.go.kr/rest/file/thumbnail/9ifmzu0qgiqp0i99vy63sni68d77qpov/1,02-880-9504,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,0,0
옹기민속박물관,삼양로 574-41,,02-900-0900,N,N,N,N,N,N,N,N,N,N,N,N,0,0
트릭아이미술관,홍익로3길 20  서교프라자 B2,,02-3144-6300,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,126.9217157,37.55351675
전쟁기념관,이태원로 29,,02-709-3139,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,126.9788228,37.53680003
경인미술관,인사동10길 11-4,http://wis.seoul.go.kr/rest/file/thumbnail/f57gjaup98vfe0a28qkviwcpb8jhbyhv/1,02-733-4448,Y,Y,Y,N,N,N,N,N,N,N,N,Y,126.9866182,37.57320396
소마미술관,올림픽로 424,,02-425-1077,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,127.115509,37.51889593
문래동 예술촌,문래동3가 예술 공단,,-1,N,N,N,N,N,N,N,N,N,N,N,N,0,0
삼성미술관 리움,이태원로55길 60-16,,02-2014-6900,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,126.998787,37.53853935
디아갤러리,계동길 121-2,http://wis.seoul.go.kr/rest/file/thumbnail/q8v848nhok40mrjrzl3r75eqb4ae3oct/1,02-742-6030,N,N,N,N,N,N,N,N,N,N,N,N,128.0810376,35.19580681
한상수자수박물관,북촌로12길 29-1,,02-744-1545,Y,Y,Y,N,N,N,N,N,N,N,N,Y,126.9856465,37.58273795
암사동선사주거지,올림픽로 875 (암사동),http://wis.seoul.go.kr/rest/file/thumbnail/3u1i7211usn0y8bpjfb9kymb4e6q71yb/1,02-3425-6520,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,127.1303274,37.55949523
창경궁,창경궁로 185,http://wis.seoul.go.kr/rest/file/thumbnail/dw53fpibqnr2nrk448wdq49hazcitaqj/1,02-762-4868,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,126.9951424,37.58140439
푸른수목원,연동로 240,http://wis.seoul.go.kr/rest/file/thumbnail/0pidlpvz6gdetgi87y4vhbg5n5ekszc4/1,02-2686-3200,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,126.8236683,37.48196629
숙명여대 박물관,청파로47길 100 숙명여자대학교 내,,02-710-9134,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,126.9636696,37.54628649
헬로우뮤지움,금호로 72,,02-3217-4222,N,N,N,N,N,N,N,N,N,N,N,N,128.8695145,35.93033168
독립공원,통일로251,http://wis.seoul.go.kr/rest/file/thumbnail/pkn8ecm97bnvafpaez9n5l4zchyid05g/1,02-364-4686,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,126.9595412,37.57244171
월드컵공원,월드컵로 243-60,http://wis.seoul.go.kr/rest/file/thumbnail/2r7g97rccyglzq7pxg4o5bahirlry8dg/1,02-300-5500,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,126.898437,37.56352588
어린이대공원,능동로 216,http://wis.seoul.go.kr/rest/file/thumbnail/a4jsf7ykzm90ou67padrn32npzu3cjta/1,02-450-9311,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,127.0862609,37.54945787
창덕궁,율곡로 99,http://wis.seoul.go.kr/rest/file/thumbnail/s57ngzx91luyvs4onv5mjmav7azpzasq/1,02-762-8261,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,126.9900993,37.57812886
겸재정선미술관,양천로47길 36,http://wis.seoul.go.kr/rest/file/thumbnail/3tqu8unfvd2szfhgwr8lekkjt87g5s41/1,02-2659-2206,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,126.8384116,37.57222267
PKM 갤러리,삼청로7길 40,http://wis.seoul.go.kr/rest/file/thumbnail/9hbndn4wp7us34qqov94ffbzfivit3la/1,02-734-9467,N,N,N,N,N,N,N,N,N,N,N,N,126.9800818,37.58409028
